mpid	log(PF_p*10^9)	mean_Number
mp-561205	5.694605199	10.66666667
mp-770904	5.892094603	7.666666667
mp-766409	6.176091259	20
mp-573030	6.648360011	27.25
mp-780086	5.72427587	6.6
mp-560658	6.618048097	17.66666667
mp-554014	6.491361694	12.76
mp-28159	6	19.2
mp-559755	6.167317335	21.28571429
mp-684804	6.699837726	9.692307692
mp-723093	4.195899652	6.366666667
mp-759958	5.620136055	10.28571429
mp-765411	5.832508913	8.7
mp-10792	5.775974331	19
mp-680167	5.365487985	23.8
mp-555132	5.547774705	19.81818182
mp-753532	6.50242712	17.71428571
mp-648992	6.045322979	15.30612245
mp-24307	5.984977126	8.086956522
mp-631378	6.51851394	46.125
mp-723145	4.942008053	9.692307692
mp-571097	6.053078443	3.466666667
mp-560585	6.372912003	14.92307692
mp-28194	5.460897843	17.2
mp-567537	6.294466226	57
mp-766881	5.093421685	8.210526316
mp-654202	6.176091259	25.17647059
mp-672976	6.158362492	12.14285714
mp-28774	6.50242712	19.2
mp-753800	5.790285164	15.2
mp-772682	6.361727836	27.07692308
mp-28813	5.567026366	15.33333333
mp-667314	6.217483944	31.91304348
mp-867268	6.431363764	18.66666667
mp-541765	6.068185862	29.13043478
mp-757560	6.206825876	11.57575758
mp-866078	6.336459734	13.91666667
mp-698457	5.376576957	5.384615385
mp-759607	6.580924976	14
mp-696174	6.257678575	6
mp-557302	6.113943352	11.75
mp-651301	5.553883027	17.33333333
mp-767601	6.350248018	8.4
mp-504934	6.460897843	34.5
mp-19134	6.086359831	11.81818182
mp-8851	6.478566496	15.54545455
mp-571228	5.963315511	32.91666667
mp-29419	6.434568904	34.72727273
mp-555641	6.494154594	27.52941176
mp-756914	6.307496038	15.2
mp-28464	6.181843588	56.47058824
mp-19057	6.056904851	12.18181818
mp-772781	6.311753861	15.6
mp-756830	5.719331287	11.68421053
mp-770286	6.591064607	9.75
mp-772529	6.342422681	22.92307692
mp-555407	6.155336037	25.48148148
mp-675918	6.36361198	5.733333333
mp-559441	6.450249108	10
mp-556902	6.710963119	10.18181818
mp-559955	6.086359831	25.25925926
mp-772666	5.938019097	10
mp-571575	6.69019608	39.13333333
mp-29428	6.5774918	31
mp-866468	5.981818607	9.9375
mp-558541	6.173186268	6.352941176
mp-768280	6.274157849	14.4
mp-723120	6.346352974	7.888888889
mp-541352	6.184691431	23.77777778
mp-779314	6.139879086	8.6
mp-675539	6.120573931	12.66666667
mp-640389	6.450249108	25.93333333
mp-10838	6.100370545	20.7
mp-574822	6.340444115	7
mp-765055	6.350248018	10.81818182
mp-766023	6.439332694	10.94736842
mp-722316	5.274157849	7.058823529
mp-29713	5.756636108	22.36363636
mp-626547	5.780317312	10.33333333
mp-17803	6.615950052	34.23529412
mp-774350	6.311753861	14.27777778
mp-770876	6.158362492	7.916666667
mp-572409	5.250420002	15.66666667
mp-557784	6.418301291	22
mp-652353	6.257678575	10
mp-559836	5.865103975	6.352941176
mp-768878	5.938019097	22.66666667
mp-648164	6.227886705	11.73913043
mp-13361	6.328379603	16.84615385
mp-759651	6.23299611	12.16666667
mp-764224	6.369215857	10
mp-770344	4.747411808	7.210526316
mp-540438	6.356025857	10.35714286
mp-707958	5.934498451	4.952380952
mp-752783	6.267171728	6.448275862
mp-23635	6.703291378	47.44444444
mp-28293	5.463892989	19.81818182
mp-645663	6.408239965	37.18181818
mp-762012	6.201397124	11.14285714
mp-505564	5.961421094	32.38461538
mp-676881	6.338456494	25.47368421
mp-743588	6.209515015	5.680851064
mp-11887	6.40654018	25.23809524
mp-773980	6.075546961	34.86666667
mp-675128	6.462397998	12.94736842
mp-24528	6.383815366	7.043478261
mp-505260	6.222716471	51.13043478
mp-770534	6.068185862	11.41666667
mp-29144	6.330413773	17
mp-559469	5.938519725	5.875
mp-766597	7.056904851	14.95238095
mp-675065	6.346352974	25.68421053
mp-558178	6.227886705	11.77777778
mp-683668	5.711807229	11.41666667
mp-23955	6.334453751	11.66666667
mp-708999	5.08278537	7.533333333
mp-677391	6.372912003	25.89473684
mp-30013	4.862727528	17.2
mp-554886	6.555094449	16.81481481
mp-683652	5.810904281	12.16666667
mp-775205	6.607455023	8.6
mp-683791	5.680335513	10.66666667
mp-707469	5.130333768	10.53846154
mp-555083	6.075546961	6.3
mp-556123	6.519827994	11.89473684
mp-19368	5.698100546	16.18181818
mp-559119	5.731588765	12
mp-558959	6.397940009	10.26666667
mp-28299	6.753583059	21.6
mp-647342	4.204119983	16.43478261
mp-540813	5.762678564	14.28571429
mp-672315	6.255272505	10
mp-626062	6.506505032	23.86666667
mp-680286	5.59439255	15.02325581
mp-559254	5.214843848	24.89655172
mp-695984	5.892094603	20
mp-675169	6.071882007	35.12820513
mp-770862	6.225309282	10
mp-29479	5.294466226	8.181818182
mp-764500	6.053078443	6.666666667
mp-744579	5.444044796	10.88888889
mp-643265	5.025305865	17.25
mp-758573	5.507855872	8.844444444
mp-23396	6.139879086	20
mp-32027	6.298853076	11
mp-558979	6.274157849	13.75
mp-603612	5.324282455	7.428571429
mp-770872	6.075546961	10
mp-554328	6.045322979	9.833333333
mp-756473	6.08278537	26.33333333
mp-28804	5.198657087	14.33333333
mp-558910	6.283301229	17.31034483
mp-557494	4.276461804	14.70588235
mp-556305	5.820201459	9.466666667
mp-540946	5.839478047	18.33333333
mp-558183	6.605305046	17.3
mp-29592	5.56937391	22.09090909
mp-557991	5.559906625	6.193548387
mp-556689	5.610660163	14.85714286
mp-765857	6.06069784	10.3
mp-762840	6.222716471	8.533333333
mp-758332	6.021189299	27.66666667
mp-22551	6.638489257	24.4
mp-559063	5.276461804	10.70588235
mp-744954	4.45484486	5.555555556
mp-557016	5.755112266	19.625
mp-779269	5.459392488	10.42857143
mp-735541	4.650307523	8.962962963
mp-573340	5.79518459	27.87096774
mp-557001	5.974971994	13.42857143
mp-770880	6.056904851	7.916666667
mp-714931	6.068185862	13
mp-753387	5.874481818	12.69230769
mp-29040	6.409933123	13.07692308
mp-19067	6.127104798	12.7027027
mp-560703	5.862727528	18.1
mp-763832	6.496929648	8.538461538
mp-608398	5.423245874	18.44444444
mp-753945	5.618048097	10.4
mp-559350	5.828659897	15.6
mp-7622	5.669316881	11.16666667
mp-18827	6.414973348	11.33333333
mp-705486	6.494154594	13.94594595
mp-762326	6.220108088	10
mp-651173	5.653212514	14.28571429
mp-624052	5.093421685	12.08
mp-740930	6.093421685	9.75
mp-504830	6.096910013	10.8
mp-676128	5.033423755	15.53846154
mp-615529	5.648360011	16.08695652
mp-695237	5.385606274	11.46666667
mp-779307	6.292256071	7.75
mp-772435	6.639486489	9.083333333
mp-604702	6.315970345	7.545454545
mp-770213	5.359835482	7.416666667
mp-669465	5.912753304	19
mp-557599	4.503790683	14.35714286
mp-735530	6.662757832	13.44117647
mp-29427	6.100370545	43
mp-19194	6.593286067	15.18181818
mp-772273	6.495544338	7.736842105
mp-780204	5.544068044	8.5
mp-720439	5.123851641	10.22222222
mp-653243	5.167317335	11.74193548
mp-763790	6.522444234	10.92307692
mp-559417	6.900367129	14.5
mp-18271	6.167317335	10.69565217
mp-545746	5.831869774	11.16666667
mp-743988	5.367355921	5.875
mp-770907	6.593286067	26.76923077
mp-745016	4.521138084	8.2
mp-559268	5.745074792	18
mp-607454	4.976349979	11.84615385
mp-560322	6.181843588	13.85714286
mp-653267	4.181843588	10.7037037
mp-505436	5.489958479	11.0625
mp-623135	5.307496038	34.86666667
mp-18639	6.274157849	18
mp-720808	5.130333768	12
mp-561098	6.397940009	17.55555556
mp-649945	4.981365509	16.19354839
mp-707792	4.835690571	11.90909091
mp-707543	5.534026106	5.058823529
mp-8794	5.927370363	20.8
mp-31690	5.161368002	10.84615385
mp-722243	4.966610987	7.571428571
mp-651026	4.491361694	18
mp-708015	4.86569606	5.707692308
