mpid,formula,crystal_system,e_hull,band_gap,formation,space_group
mp-1195633,Cs2MgSn3Se8,3,0,1.4299,-1.014674557,19
mp-1195667,Cs2MgGe3Se8,3,0,1.4687,-0.983424622,19
mp-1194701,Cs2ZnSn3Se8,3,0,1.2553,-0.942994901,19
mp-1195323,Cs2Sn3HgSe8,3,0,1.2034,-0.871284572,19
mp-1195716,Cs2CdSn3Se8,3,0,1.372,-0.928314622,19
mp-1194749,Cs2ZnGe3Se8,3,0,1.4028,-0.913369856,19
mp-1196224,Ba6Sn6Se13,3,0,0.0001,-1.467898472,19
mp-676712,ReSeCl,3,0,1.5368,-0.646753416,20
mp-569114,BaAg2SnSe4,3,0,0.0654,-0.967086198,23
mp-569790,BaAg2GeSe4,3,0,0.035,-0.948601903,23
mp-27367,SeOF2,3,0,4.0833,-1.412649284,29
mp-1103261,SiPtSe,3,0,0.7879,-0.736154612,29
mp-20817,GePtSe,3,0,0.6596,-0.708422574,29
mp-733581,PrH(SeO3)2,3,0,3.5309,-1.975477995,29
mp-1203210,ZnTeH12Se3N4,3,0,1.6757,-0.484652143,29
mp-683984,Al(SeCl)4,3,0,1.1038,-0.843153537,29
mp-17945,RbPSe6,3,0,1.8608,-0.695075516,29
mp-18625,KPSe6,3,0,1.8828,-0.681722184,29
mp-569883,Rb2(PSe2)3,3,0,1.4028,-0.745937708,29
mp-680333,Ge4Se9,3,0,1.2221,-0.564213326,29
mp-1195417,Cs4Ge(PSe3)4,3,0,1.3838,-0.828620942,29
mp-1195433,K4Ge(PSe3)4,3,0,1.3986,-0.794603427,29
mp-1195251,Rb4Ge(PSe3)4,3,0,1.3687,-0.809034293,29
mp-1192446,Pb2SeN2O9,3,0,3.245,-1.209254426,31
mp-10796,HgSeO4,3,0,0.844,-0.595841496,31
mp-1211361,MnAg2GeSe4,3,0,0.0088,-0.491092853,31
mp-30908,Ag3PSe4,3,0,0.1744,-0.336743404,31
mp-1210646,MnSi(AgSe2)2,3,0,0.6252,-0.547603714,31
mp-5756,Cu3PSe4,3,0,0.0,-0.202158093,31
mp-1210824,MnCu2SiSe4,3,0,0.4495,-0.56815842,31
mp-1188827,MgCu2SiSe4,3,0,0.818,-0.762536203,31
mp-10963,Ag2SnHgSe4,3,0,0.0,-0.474886693,31
mp-1212937,Cu2SiHgSe4,3,0,0.0161,-0.512690313,31
mp-1210929,MnAg2SnSe4,3,0,0.0,-0.528284063,31
mp-1189879,CdCu2SiSe4,3,0,0.34,-0.609798416,31
mp-1219355,SiAg6HgSe6,3,0,0.1021,-0.378230672,31
mp-18474,Ag8GeSe6,3,0,0.0,-0.3325019,31
mp-17984,Ag8SnSe6,3,0,0.001,-0.334242656,31
mp-1226222,Cs3Y7Se12,3,0,1.5161,-2.06916248,31
mp-1226868,Cs3Sm7Se12,3,0,1.4741,-2.062308774,31
mp-1227054,Cs3Ho7Se12,3,0,1.5043,-2.061756597,31
mp-557025,K2SeO4,3,0,3.6435,-1.800245661,33
