mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-2780,Fe3Se4,7,2,0.0794714907142859,0.0,-0.4977893556249993,12
mp-1025281,Ti2NiSe4,7,2,0.019777375714284,0.0,-1.2028040208630952,12
mp-1025359,Fe(NiSe2)2,7,2,0.060377878809529,0.0,-0.5273060656249992,12
mp-1025232,V2CrSe4,7,2,0.0078962431745974,0.0,-0.9153151984821426,12
mp-4852,Ni(RhSe2)2,7,2,0.0423986613095195,0.0,-0.4174609725595246,12
mp-5749,Cr2FeSe4,7,2,0.0595374692857104,0.0,-0.6644594141964281,12
mp-1025341,Si2NiSe4,7,2,0.2929687408333343,0.0,-0.4171128113392858,12
mp-22700,V3Se4,7,2,0.0,0.0,-0.9137636251785708,12
mp-27840,Cr3Se4,7,2,0.0051112323809512,0.0,-0.7667250841964284,12
mp-1025180,Mn(CrSe2)2,7,2,0.0,0.0,-0.7704808667580048,12
mp-1025235,Fe(CoSe2)2,7,2,0.0380256854761897,0.0,-0.5359225970535714,12
mp-1025347,Ti2CoSe4,7,2,0.047820865714284,0.0,-1.1747605308630955,12
mp-1078160,Cr2CoSe4,7,2,0.0395174119047441,0.0,-0.6834403013392857,12
mp-1077938,Pr2CrSe4,7,2,0.1447309041666633,0.0,-1.5958593861011905,12
mp-569662,V2NiSe4,7,2,0.0861963176190379,0.0,-0.6934281017500094,12
mp-1224746,Fe(SiSe2)2,7,2,0.1769086962500017,0.0,-0.526818734196428,12
mp-1025195,Nb2VSe4,7,2,0.0017282628571386,0.0,-1.0276718008928551,12
mp-1215645,Zr2NiSe4,7,2,0.0679558685714276,0.0,-1.3408109041964278,12
mp-1025279,Ti(CrSe2)2,7,2,0.0256413425396813,0.0,-0.9833941018154756,12
mp-1025190,Co2NiSe4,7,2,0.0412459307142878,0.0,-0.3117381194642864,12
mp-1078078,Co(SiSe2)2,7,2,0.3421971908928585,0.0,-0.3605396699107136,12
mp-1025322,V(CoSe2)2,7,2,0.0375167833333343,0.0,-0.5228978699880956,12
mp-7823,V2NiSe4,7,2,0.0146027061904678,0.0,-0.7650217131785796,12
mp-1077942,Rb2TeSe4,7,2,0.0071769645386905,0.9114999999999998,-0.8959076487202375,12
mp-568349,Cr(FeSe2)2,7,2,0.0900830878571463,0.0,-0.5605457770535713,12
mp-1078104,Fe2CoSe4,7,2,0.0688610423460023,0.0,-0.5120866370535718,12
mp-1224581,GdCu5Se4,10,2,0.1102299537500002,0.0,-0.548766794125001,12
mp-1218290,SrEu4Se5,10,2,0.0189327530000014,0.0,-2.337416025531252,12
mp-8436,Ta2PdSe6,9,2,0.0,0.0,-0.7847910432268527,12
mp-1120759,PdSe2,6,2,0.055481607499999,1.3767,-0.270646422708334,14
mp-1080432,K2Se2O,10,2,0.4375124386666651,0.0703,-0.9282280033375,15
mp-7086,RbFeSe2,8,2,0.0,0.0,-0.8967297855468761,15
mp-1078456,K2Se2N,10,2,0.9021799593333332,0.191,0.0109005768749966,15
mp-9884,KFeSe2,8,2,0.0005402645833347,0.0,-0.8848990917343738,15
mp-7547,BaSe2,6,2,0.0,0.6166000000000003,-1.7082743515625003,15
mp-684690,Sc2Se3,10,2,0.035479040500002,0.5374000000000003,-1.927741243437501,15
mp-567913,CsAuSe3,10,2,0.0,1.1919000000000002,-0.7746234393372816,15
mp-1247808,Se,4,3,0.1475421634374996,0.0,0.1475421634374996,18
mp-569114,BaAg2SnSe4,8,3,0.0,0.0653999999999999,-0.9670861984635408,23
mp-569790,BaAg2GeSe4,8,3,0.0,0.0350000000000001,-0.9486019034635405,23
mp-1224872,GaCuSeS,8,3,0.0122784287499992,0.4579,-0.6237343985937525,24
mp-1224853,GaAgTeSe,8,3,0.0143252606249997,0.2464999999999997,-0.5789050782942704,24
mp-1224989,FeCuSeS,8,3,0.1399846912500004,0.0,-0.4360589574609381,24
