mpid,log(PF_n*10^7),maximum NdUnfilled
mp-9304,7.041392685,0
mp-29754,7.041392685,0
mp-753741,7.041392685,0
mp-21836,7.041392685,0
mp-531175,7.041392685,0
mp-672,7.041392685,0
mp-29341,7.041392685,0
mp-697,7.041392685,0
mp-24292,7.041392685,3
mp-10159,7.041392685,0
mp-571386,7.041392685,0
mp-778065,7.037426498,0
mp-680436,7.037426498,0
mp-675132,7.037426498,0
mp-676975,7.037426498,8
mp-555853,7.037426498,0
mp-541979,7.037426498,2
mp-23452,7.037426498,0
mp-29437,7.037426498,0
mp-31276,7.037426498,0
mp-744439,7.037426498,5
mp-767952,7.037426498,5
mp-768061,7.037426498,5
mp-752827,7.037426498,0
mp-755020,7.037426498,0
mp-569051,7.037426498,0
mp-7798,7.037426498,0
mp-556570,7.037426498,0
mp-4004,7.037426498,0
mp-779294,7.037426498,0
mp-680193,7.037426498,0
mp-28595,7.037426498,0
mp-3917,7.037426498,0
mp-38951,7.037426498,0
